Date,Line,Shift,Units_Produced,Defect_Rate,Downtime_Minutes,Temperature_C,Humidity_%
2024-01-27,A,Morning,490,3.08,24,26.9,58
2024-01-27,A,Afternoon,523,2.86,51,21.4,58
2024-01-27,A,Night,447,5.2,31,24.3,57
2024-01-27,B,Morning,488,2.08,47,24.8,54
2024-01-27,B,Afternoon,465,1.33,89,27.9,54
2024-01-27,B,Night,452,2.28,44,27.6,66
2024-01-28,A,Morning,549,3.7,39,27.4,63
2024-01-28,A,Afternoon,534,3.22,58,24.6,57
2024-01-28,A,Night,514,4.98,47,27.2,60
2024-01-28,B,Morning,512,1.76,32,25.9,57
2024-01-28,B,Afternoon,464,2.3,73,26.4,59
2024-01-28,B,Night,446,2.07,59,26.8,57
2024-01-29,A,Morning,536,2.48,38,25.6,68
2024-01-29,A,Afternoon,536,2.93,53,24.9,63
2024-01-29,A,Night,452,4.57,52,26.6,62
2024-01-29,B,Morning,466,1.5,32,31.1,55
2024-01-29,B,Afternoon,475,1.42,60,24.5,58
2024-01-29,B,Night,504,1.6,59,25.2,64
2024-01-30,A,Morning,525,3.32,44,24.2,72
2024-01-30,A,Afternoon,556,3.36,54,28.0,53
2024-01-30,A,Night,485,5.0,38,23.7,59
2024-01-30,B,Morning,423,2.2,58,23.8,65
2024-01-30,B,Afternoon,480,1.87,41,24.0,60
2024-01-30,B,Night,454,2.08,42,25.4,61
2024-01-31,A,Morning,487,2.99,48,27.0,57
2024-01-31,A,Afternoon,519,2.88,47,27.7,61
2024-01-31,A,Night,464,4.49,45,25.4,55
2024-01-31,B,Morning,490,1.95,41,30.4,63
2024-01-31,B,Afternoon,447,1.25,65,27.2,59
2024-01-31,B,Night,439,1.98,39,26.2,62
2024-02-01,A,Morning,519,2.62,44,23.6,53
2024-02-01,A,Afternoon,485,3.6,40,29.8,62
2024-02-01,A,Night,503,5.06,50,27.9,64
2024-02-01,B,Morning,478,2.04,45,29.3,52
2024-02-01,B,Afternoon,438,1.88,58,24.6,56
2024-02-01,B,Night,487,1.99,27,30.5,68
2024-02-02,A,Morning,523,3.66,27,28.4,59
2024-02-02,A,Afternoon,552,2.61,59,26.0,56
2024-02-02,A,Night,567,4.14,48,26.1,57
2024-02-02,B,Morning,497,1.91,41,25.7,60
2024-02-02,B,Afternoon,480,1.94,58,28.3,61
2024-02-02,B,Night,452,2.12,41,28.2,59
2024-02-03,A,Morning,549,2.96,51,27.8,52
2024-02-03,A,Afternoon,553,3.7,41,25.8,56
2024-02-03,A,Night,563,6.48,44,28.8,58
2024-02-03,B,Morning,472,2.19,39,27.5,58
2024-02-03,B,Afternoon,464,2.15,39,26.7,57
2024-02-03,B,Night,491,1.72,37,25.4,65
2024-02-04,A,Morning,529,2.77,46,26.4,62
2024-02-04,A,Afternoon,506,3.44,22,29.0,62
2024-02-04,A,Night,522,4.58,54,25.4,50
2024-02-04,B,Morning,454,2.46,53,27.2,58
2024-02-04,B,Afternoon,409,2.25,76,25.0,62
2024-02-04,B,Night,464,1.45,43,27.2,62
2024-02-05,A,Morning,511,3.15,46,22.7,56
2024-02-05,A,Afternoon,529,3.69,51,27.9,61
2024-02-05,A,Night,516,5.14,24,25.7,65
2024-02-05,B,Morning,458,2.58,44,27.8,60
2024-02-05,B,Afternoon,455,1.93,54,26.7,62
2024-02-05,B,Night,447,2.44,55,25.2,56
2024-02-06,A,Morning,570,2.79,32,25.4,63
2024-02-06,A,Afternoon,511,3.99,47,30.7,54
2024-02-06,A,Night,483,5.26,49,27.0,60
2024-02-06,B,Morning,485,1.91,41,27.7,61
2024-02-06,B,Afternoon,486,2.33,64,28.8,57
2024-02-06,B,Night,474,2.16,42,31.3,59
2024-02-07,A,Morning,506,3.95,28,31.6,58
2024-02-07,A,Afternoon,516,3.37,45,28.0,54
2024-02-07,A,Night,487,4.99,43,25.3,57
2024-02-07,B,Morning,482,1.97,48,26.8,65
2024-02-07,B,Afternoon,465,2.03,53,29.0,50
2024-02-07,B,Night,435,1.75,44,24.2,54
2024-02-08,A,Morning,533,2.3,43,24.0,57
2024-02-08,A,Afternoon,494,3.38,39,30.0,66
2024-02-08,A,Night,507,4.87,50,24.9,59
2024-02-08,B,Morning,490,1.96,50,29.5,60
2024-02-08,B,Afternoon,450,2.09,59,29.4,66
2024-02-08,B,Night,465,2.43,31,28.6,68
2024-02-09,A,Morning,529,4.05,28,30.1,59
2024-02-09,A,Afternoon,511,2.81,45,27.3,59
2024-02-09,A,Night,513,6.03,32,23.9,60
2024-02-09,B,Morning,481,1.99,55,26.0,60
2024-02-09,B,Afternoon,481,2.46,67,25.4,58
2024-02-09,B,Night,456,1.95,28,23.5,48
2024-02-10,A,Morning,514,3.5,17,28.4,61
2024-02-10,A,Afternoon,546,2.64,51,25.0,65
2024-02-10,A,Night,452,4.98,38,30.5,61
2024-02-10,B,Morning,496,1.95,38,25.7,61
2024-02-10,B,Afternoon,469,1.61,70,30.1,65
2024-02-10,B,Night,469,2.55,53,28.0,61
2024-02-11,A,Morning,500,3.21,53,26.2,63
2024-02-11,A,Afternoon,516,2.43,52,26.2,60
2024-02-11,A,Night,475,4.68,44,27.1,54
2024-02-11,B,Morning,475,2.19,44,25.6,59
2024-02-11,B,Afternoon,483,2.18,68,24.1,51
2024-02-11,B,Night,478,2.08,42,27.4,65
2024-02-12,A,Morning,523,3.31,45,29.0,63
2024-02-12,A,Afternoon,524,2.72,37,27.4,65
2024-02-12,A,Night,474,5.71,50,27.9,61
2024-02-12,B,Morning,461,2.08,26,26.7,51
2024-02-12,B,Afternoon,475,2.06,60,25.1,63
2024-02-12,B,Night,512,2.03,36,24.7,61
2024-02-13,A,Morning,553,2.6,49,24.8,59
2024-02-13,A,Afternoon,455,3.18,47,28.2,65
2024-02-13,A,Night,503,4.46,24,26.7,53
2024-02-13,B,Morning,426,1.97,32,24.8,52
2024-02-13,B,Afternoon,468,2.14,37,24.9,60
2024-02-13,B,Night,435,2.01,32,28.4,51
2024-02-14,A,Morning,512,4.69,27,28.6,62
2024-02-14,A,Afternoon,551,3.6,44,24.1,55
2024-02-14,A,Night,523,5.76,33,22.2,55
2024-02-14,B,Morning,492,2.53,51,28.6,55
2024-02-14,B,Afternoon,434,1.98,45,27.8,51
2024-02-14,B,Night,477,1.78,62,25.0,77
2024-02-15,A,Morning,516,2.97,45,25.5,49
2024-02-15,A,Afternoon,509,3.17,36,26.3,55
2024-02-15,A,Night,560,4.42,36,25.3,64
2024-02-15,B,Morning,485,1.75,45,30.3,59
2024-02-15,B,Afternoon,485,1.79,47,25.4,60
2024-02-15,B,Night,452,1.84,42,28.8,64
2024-02-16,A,Morning,508,3.64,38,29.1,58
2024-02-16,A,Afternoon,478,3.5,38,28.1,63
2024-02-16,A,Night,471,6.12,38,28.7,62
2024-02-16,B,Morning,445,2.04,48,33.6,61
2024-02-16,B,Afternoon,468,1.77,77,24.8,69
2024-02-16,B,Night,492,2.2,39,30.0,58
2024-02-17,A,Morning,547,4.25,43,30.2,56
2024-02-17,A,Afternoon,545,2.22,41,27.8,72
2024-02-17,A,Night,484,5.53,57,27.5,57
2024-02-17,B,Morning,495,1.68,42,23.5,70
2024-02-17,B,Afternoon,469,1.98,59,27.7,64
2024-02-17,B,Night,444,2.02,50,28.0,62
2024-02-18,A,Morning,552,2.62,38,24.0,58
2024-02-18,A,Afternoon,505,3.15,39,26.7,56
2024-02-18,A,Night,473,4.39,49,23.5,68
2024-02-18,B,Morning,480,1.71,47,25.2,56
2024-02-18,B,Afternoon,468,1.77,60,28.0,66
2024-02-18,B,Night,471,2.24,40,27.1,49
2024-02-19,A,Morning,528,2.68,33,26.8,69
2024-02-19,A,Afternoon,522,3.18,35,25.7,60
2024-02-19,A,Night,485,5.31,59,28.1,57
2024-02-19,B,Morning,496,1.97,42,24.6,55
2024-02-19,B,Afternoon,480,2.08,59,31.3,58
2024-02-19,B,Night,496,2.37,57,29.4,62
2024-02-20,A,Morning,499,3.99,45,30.3,64
2024-02-20,A,Afternoon,519,4.3,24,28.9,69
2024-02-20,A,Night,421,4.11,58,27.2,54
2024-02-20,B,Morning,487,2.28,38,27.3,60
2024-02-20,B,Afternoon,433,2.0,59,25.5,63
2024-02-20,B,Night,432,1.89,44,25.8,52
2024-02-21,A,Morning,526,2.69,31,25.1,69
2024-02-21,A,Afternoon,526,2.79,29,25.1,60
2024-02-21,A,Night,475,5.34,29,25.9,49
2024-02-21,B,Morning,488,2.47,45,26.6,60
2024-02-21,B,Afternoon,465,1.75,46,27.0,56
2024-02-21,B,Night,478,2.05,56,27.8,62
2024-02-22,A,Morning,536,3.09,35,24.7,63
2024-02-22,A,Afternoon,535,2.5,34,27.9,58
2024-02-22,A,Night,557,4.52,34,24.6,61
2024-02-22,B,Morning,475,2.23,46,27.4,62
2024-02-22,B,Afternoon,461,1.95,54,23.5,60
2024-02-22,B,Night,475,1.95,33,26.7,59
2024-02-23,A,Morning,518,3.25,36,28.5,67
2024-02-23,A,Afternoon,532,2.52,29,25.9,60
2024-02-23,A,Night,519,5.74,57,30.3,60
2024-02-23,B,Morning,485,2.59,73,30.4,59
2024-02-23,B,Afternoon,488,2.09,58,24.5,69
2024-02-23,B,Night,472,1.79,44,29.8,58
2024-02-24,A,Morning,479,3.88,52,29.4,61
2024-02-24,A,Afternoon,526,3.02,45,27.0,56
2024-02-24,A,Night,485,6.36,27,28.6,58
2024-02-24,B,Morning,462,1.9,51,25.5,53
2024-02-24,B,Afternoon,472,2.2,79,27.4,49
2024-02-24,B,Night,452,1.99,52,26.2,67
2024-02-25,A,Morning,519,3.34,44,30.8,61
2024-02-25,A,Afternoon,552,3.54,35,25.6,59
2024-02-25,A,Night,515,5.83,48,23.1,58
2024-02-25,B,Morning,454,1.54,44,29.5,65
2024-02-25,B,Afternoon,437,2.02,52,26.4,62
2024-02-25,B,Night,442,1.86,50,23.9,55
2024-02-26,A,Morning,540,2.8,26,27.5,61
2024-02-26,A,Afternoon,522,3.45,35,25.1,55
2024-02-26,A,Night,562,5.4,38,30.9,68
2024-02-26,B,Morning,449,1.77,39,25.9,59
2024-02-26,B,Afternoon,499,2.14,55,23.8,63
2024-02-26,B,Night,442,2.13,54,26.6,57
2024-02-27,A,Morning,568,3.17,57,29.3,67
2024-02-27,A,Afternoon,507,4.06,47,31.4,58
2024-02-27,A,Night,513,2.98,47,26.1,50
2024-02-27,B,Morning,461,2.2,46,25.7,62
2024-02-27,B,Afternoon,474,2.48,61,27.1,62
2024-02-27,B,Night,489,1.46,46,27.7,57
2024-02-28,A,Morning,541,3.68,49,27.4,55
2024-02-28,A,Afternoon,549,3.47,44,27.8,67
2024-02-28,A,Night,529,6.27,37,28.0,57
2024-02-28,B,Morning,514,2.36,43,25.2,63
2024-02-28,B,Afternoon,471,2.06,49,23.7,58
2024-02-28,B,Night,478,2.08,47,27.8,65
2024-02-29,A,Morning,514,3.53,39,31.8,59
2024-02-29,A,Afternoon,530,3.71,42,25.3,61
2024-02-29,A,Night,518,6.82,44,28.6,68
2024-02-29,B,Morning,481,1.88,43,27.4,62
2024-02-29,B,Afternoon,475,2.12,55,28.2,62
2024-02-29,B,Night,470,2.27,59,27.7,56
2024-03-01,A,Morning,523,2.92,49,25.7,66
2024-03-01,A,Afternoon,531,3.59,60,26.1,60
2024-03-01,A,Night,558,6.87,40,31.0,62
2024-03-01,B,Morning,461,2.04,59,28.2,64
2024-03-01,B,Afternoon,455,1.85,58,27.8,57
2024-03-01,B,Night,461,2.28,35,25.9,68
2024-03-02,A,Morning,490,2.71,22,26.6,58
2024-03-02,A,Afternoon,529,3.55,44,27.6,60
2024-03-02,A,Night,482,5.86,48,26.7,50
2024-03-02,B,Morning,485,2.48,55,25.8,68
2024-03-02,B,Afternoon,486,1.95,59,25.0,56
2024-03-02,B,Night,470,2.22,49,29.3,54
2024-03-03,A,Morning,522,3.52,38,26.8,59
2024-03-03,A,Afternoon,483,3.03,32,29.5,65
2024-03-03,A,Night,531,3.97,42,27.3,58
2024-03-03,B,Morning,505,2.32,51,26.2,63
2024-03-03,B,Afternoon,447,2.27,74,27.9,67
2024-03-03,B,Night,449,1.17,56,26.9,59
2024-03-04,A,Morning,594,3.27,49,28.9,67
2024-03-04,A,Afternoon,490,3.3,22,25.6,54
2024-03-04,A,Night,476,6.09,41,31.7,55
2024-03-04,B,Morning,457,1.85,45,26.3,55
2024-03-04,B,Afternoon,481,2.35,52,27.4,64
2024-03-04,B,Night,443,2.25,22,24.6,55
2024-03-05,A,Morning,538,3.64,27,28.8,64
2024-03-05,A,Afternoon,544,2.73,32,26.9,61
2024-03-05,A,Night,516,4.28,35,26.0,59
2024-03-05,B,Morning,444,2.11,38,29.4,62
2024-03-05,B,Afternoon,483,1.92,70,28.9,60
2024-03-05,B,Night,483,1.73,36,24.0,63
2024-03-06,A,Morning,538,3.64,57,25.3,62
2024-03-06,A,Afternoon,560,2.37,35,23.4,60
2024-03-06,A,Night,499,4.74,44,24.2,58
2024-03-06,B,Morning,452,2.25,39,29.2,64
2024-03-06,B,Afternoon,458,2.0,55,27.6,70
2024-03-06,B,Night,481,2.32,42,23.6,62
2024-03-07,A,Morning,525,2.94,25,26.6,67
2024-03-07,A,Afternoon,534,3.46,35,24.0,67
2024-03-07,A,Night,496,5.95,24,26.4,55
2024-03-07,B,Morning,466,2.28,42,27.7,67
2024-03-07,B,Afternoon,476,2.6,59,24.2,60
2024-03-07,B,Night,459,1.9,37,27.6,63
2024-03-08,A,Morning,537,2.98,23,24.5,46
2024-03-08,A,Afternoon,568,3.37,31,24.9,60
2024-03-08,A,Night,511,5.4,43,29.8,62
2024-03-08,B,Morning,451,2.32,44,30.1,60
2024-03-08,B,Afternoon,454,1.84,57,23.5,61
2024-03-08,B,Night,488,2.1,28,26.6,56
2024-03-09,A,Morning,480,3.05,27,26.1,66
2024-03-09,A,Afternoon,500,3.97,44,30.7,60
2024-03-09,A,Night,493,5.1,31,27.8,59
2024-03-09,B,Morning,481,1.66,40,30.2,58
2024-03-09,B,Afternoon,427,1.97,48,24.7,57
2024-03-09,B,Night,478,1.9,48,28.0,57
2024-03-10,A,Morning,467,3.2,33,22.8,58
2024-03-10,A,Afternoon,525,2.75,38,23.7,55
2024-03-10,A,Night,479,4.85,26,27.2,63
2024-03-10,B,Morning,494,1.66,23,31.1,63
2024-03-10,B,Afternoon,469,1.96,63,30.6,56
2024-03-10,B,Night,474,2.04,40,27.0,62
2024-03-11,A,Morning,534,4.25,42,29.4,63
2024-03-11,A,Afternoon,508,3.51,47,25.4,59
2024-03-11,A,Night,478,5.29,34,31.5,52
2024-03-11,B,Morning,477,2.47,34,26.0,55
2024-03-11,B,Afternoon,448,2.45,66,28.1,56
2024-03-11,B,Night,468,1.92,54,26.9,58
2024-03-12,A,Morning,527,2.18,41,26.7,62
2024-03-12,A,Afternoon,522,2.92,37,26.2,62
2024-03-12,A,Night,487,5.81,29,27.8,54
2024-03-12,B,Morning,481,1.96,40,26.4,63
2024-03-12,B,Afternoon,448,2.27,48,27.9,54
2024-03-12,B,Night,463,2.02,32,26.0,67
2024-03-13,A,Morning,560,3.49,50,24.9,58
2024-03-13,A,Afternoon,543,3.88,30,29.9,61
2024-03-13,A,Night,478,5.65,35,24.4,71
2024-03-13,B,Morning,484,2.86,49,29.5,65
2024-03-13,B,Afternoon,468,2.02,68,26.2,64
2024-03-13,B,Night,470,2.54,39,23.9,60
2024-03-14,A,Morning,517,3.09,45,28.0,44
2024-03-14,A,Afternoon,492,1.95,50,26.7,67
2024-03-14,A,Night,512,3.89,54,26.2,66
2024-03-14,B,Morning,450,1.81,44,25.4,60
2024-03-14,B,Afternoon,450,1.89,61,26.9,61
2024-03-14,B,Night,438,2.58,39,25.5,56
2024-03-15,A,Morning,501,3.25,20,27.6,57
2024-03-15,A,Afternoon,493,3.62,36,28.3,68
2024-03-15,A,Night,487,4.89,49,25.4,66
2024-03-15,B,Morning,496,2.13,32,28.4,63
2024-03-15,B,Afternoon,468,1.8,67,25.4,61
2024-03-15,B,Night,475,2.13,45,24.8,61
2024-03-16,A,Morning,510,4.02,42,29.9,59
2024-03-16,A,Afternoon,535,4.44,49,29.7,55
2024-03-16,A,Night,489,5.89,28,30.0,62
2024-03-16,B,Morning,458,1.88,47,30.5,55
2024-03-16,B,Afternoon,450,2.71,52,24.9,59
2024-03-16,B,Night,443,1.98,39,29.5,55
2024-03-17,A,Morning,512,3.19,31,26.4,56
2024-03-17,A,Afternoon,541,3.99,58,28.7,59
2024-03-17,A,Night,508,5.39,42,27.8,57
2024-03-17,B,Morning,505,1.7,47,27.7,65
2024-03-17,B,Afternoon,484,2.31,77,28.9,63
2024-03-17,B,Night,463,1.73,50,27.5,64
2024-03-18,A,Morning,490,2.16,9,27.1,60
2024-03-18,A,Afternoon,515,2.25,42,26.4,63
2024-03-18,A,Night,497,5.6,59,27.2,50
2024-03-18,B,Morning,443,1.58,31,27.5,57
2024-03-18,B,Afternoon,481,2.15,59,29.4,55
2024-03-18,B,Night,421,2.54,41,28.6,62
2024-03-19,A,Morning,537,2.99,42,27.8,65
2024-03-19,A,Afternoon,531,2.8,41,26.6,52
2024-03-19,A,Night,507,4.75,49,26.5,54
2024-03-19,B,Morning,479,1.85,23,23.1,59
2024-03-19,B,Afternoon,441,1.85,79,21.3,58
2024-03-19,B,Night,472,2.0,40,26.0,62
2024-03-20,A,Morning,486,3.06,39,24.2,55
2024-03-20,A,Afternoon,496,3.34,44,29.1,55
2024-03-20,A,Night,484,4.45,36,26.7,64
2024-03-20,B,Morning,471,2.16,47,26.6,58
2024-03-20,B,Afternoon,466,1.71,58,26.9,62
2024-03-20,B,Night,470,1.96,55,27.0,59
2024-03-21,A,Morning,581,2.92,53,26.3,62
2024-03-21,A,Afternoon,530,3.88,50,30.0,60
2024-03-21,A,Night,555,5.44,44,27.4,55
2024-03-21,B,Morning,446,2.36,30,25.3,59
2024-03-21,B,Afternoon,507,1.56,51,29.4,62
2024-03-21,B,Night,478,2.24,58,25.6,64
2024-03-22,A,Morning,521,4.09,48,29.2,57
2024-03-22,A,Afternoon,480,3.54,41,28.5,61
2024-03-22,A,Night,469,6.14,20,27.2,55
2024-03-22,B,Morning,482,2.02,50,26.4,61
2024-03-22,B,Afternoon,470,1.95,57,25.8,58
2024-03-22,B,Night,467,2.13,51,28.6,60
2024-03-23,A,Morning,500,2.9,26,25.1,56
2024-03-23,A,Afternoon,557,1.91,49,27.9,65
2024-03-23,A,Night,497,5.31,46,24.1,56
2024-03-23,B,Morning,458,2.11,34,25.5,61
2024-03-23,B,Afternoon,489,1.94,74,25.0,62
2024-03-23,B,Night,446,1.94,56,28.2,66
2024-03-24,A,Morning,547,5.06,30,30.4,57
2024-03-24,A,Afternoon,538,3.85,46,29.1,62
2024-03-24,A,Night,526,5.14,23,24.3,55
2024-03-24,B,Morning,471,2.0,51,24.7,63
2024-03-24,B,Afternoon,469,1.83,81,25.3,59
2024-03-24,B,Night,474,2.15,46,28.5,64
2024-03-25,A,Morning,520,4.17,52,30.0,53
2024-03-25,A,Afternoon,501,4.22,39,25.4,66
2024-03-25,A,Night,453,5.4,39,25.4,60
2024-03-25,B,Morning,445,2.36,45,30.5,62
